,City name,Country,Cloudiness,Dates,Humidities,Lats,Lngs,Max_temps,Wind_speeds
0,esil,KZ,0,1594849231,66,51.96,66.4,68.9,8.21
1,hilo,US,90,1594849772,65,19.73,-155.09,82.4,9.17
2,ponta delgada,PT,100,1594849297,90,38.73,-28.27,65.68,8.52
3,puerto madryn,ES,0,1594849297,42,36.59,-6.23,82.4,23.04
4,punta arenas,PH,99,1594849772,87,8.99,125.34,75.18,3.83
5,hithadhoo,MV,100,1594849772,73,-0.6,73.08,83.46,5.26
6,mys shmidta,RU,100,1594849772,96,62.06,48.62,57.61,7.38
7,carnarvon,AU,90,1594849772,59,-24.87,113.63,66.2,8.05
8,goderich,CA,42,1594849772,61,43.75,-81.72,86.0,7.0
9,busselton,AU,34,1594849773,94,-33.65,115.33,59.0,22.93
10,chuy,UY,0,1594849773,69,-33.7,-53.46,42.89,4.09
11,arraial do cabo,BR,1,1594849773,77,-22.84,-46.65,60.8,17.22
12,rikitea,PF,100,1594849232,83,-23.12,-134.97,74.41,8.93
13,pandharpur,IN,100,1594849232,89,17.67,75.33,73.06,9.17
14,vao,NC,52,1594849773,74,-22.67,167.48,70.14,22.57
15,touros,BR,40,1594849773,88,-5.2,-35.46,77.0,5.82
16,aklavik,CA,75,1594849773,82,68.22,-135.01,57.2,6.93
17,atuona,PF,5,1594849773,76,-9.8,-139.03,79.32,16.58
18,ahuimanu,US,75,1594849773,65,21.44,-157.84,84.2,13.87
19,cabedelo,BR,99,1594849774,88,-6.98,-34.83,75.2,8.05
20,trincomalee,LK,100,1594849774,77,8.57,81.23,81.64,19.42
21,namibe,AO,24,1594849774,88,-15.2,12.15,65.7,7.63
22,east london,IS,75,1594849774,76,65.0,-15.0,51.8,12.75
23,butaritari,KI,78,1594849774,75,3.07,172.79,82.69,15.14
24,bismil,TR,0,1594849774,53,37.85,40.67,75.2,4.7
25,hobart,AU,75,1594849585,87,-42.88,147.33,43.0,6.93
26,tessalit,ML,60,1594849774,34,20.2,1.01,90.77,21.05
27,nikolskoye,RU,20,1594849774,67,59.7,30.79,60.8,6.71
28,winnemucca,US,1,1594849774,6,40.97,-117.74,89.6,3.36
29,newport,GB,73,1594849559,81,51.59,-3.0,64.0,5.61
30,ushuaia,AR,20,1594849775,92,-54.8,-68.3,30.2,5.82
31,thohoyandou,ZA,0,1594849775,67,-22.95,30.48,45.43,3.74
32,khatanga,RU,100,1594849775,67,71.97,102.5,56.53,10.09
33,dikson,RU,93,1594849775,97,73.51,80.55,40.05,7.16
34,sur,OM,22,1594849775,62,22.57,59.53,85.78,10.54
35,amahai,ID,46,1594849775,88,-3.33,128.92,76.87,2.66
36,bluff,NZ,44,1594849775,83,-46.6,168.33,39.0,3.0
37,ribeira grande,ES,8,1594849775,77,42.75,-8.44,64.0,6.93
38,tiksi,RU,2,1594849775,87,71.69,128.87,36.61,18.79
39,praia,CV,75,1594849235,74,14.92,-23.51,78.8,11.41
40,saint-philippe,RE,43,1594849775,72,-21.36,55.77,69.8,4.7
41,new norfolk,LR,61,1594849776,90,6.65,-10.59,70.52,3.51
42,kapaa,US,40,1594849776,74,22.08,-159.32,84.0,11.41
43,sagauli,IN,7,1594849235,80,26.78,84.73,82.45,11.41
44,san cristobal,ML,98,1594849776,70,13.3,-4.9,81.03,0.54
45,hermanus,ZA,52,1594849776,89,-34.42,19.23,42.01,1.99
46,morondava,MG,0,1594849235,64,-20.28,44.28,70.99,19.69
47,zhezkazgan,KZ,78,1594849776,46,47.8,67.71,76.66,14.18
48,avarua,CK,84,1594849300,60,-21.21,-159.78,73.4,6.93
49,atyashevo,RU,0,1594849235,92,54.56,46.07,57.43,7.4
50,waitati,NZ,8,1594849236,85,-45.75,170.57,42.01,1.99
51,anadyr,RU,20,1594849776,87,64.75,177.48,55.4,13.42
52,college,US,1,1594849777,56,64.86,-147.8,70.0,5.82
53,sao joao da barra,IN,100,1594849777,96,20.51,76.21,73.17,3.13
54,vaitape,PF,5,1594849777,85,-16.52,-151.75,78.67,17.0
55,mataura,NZ,12,1594849300,83,-46.19,168.86,39.0,3.0
56,mar del plata,ES,75,1594849300,72,43.4,-4.01,68.0,4.7
57,eureka,US,0,1594849777,17,40.8,-124.16,64.0,5.01
58,barrow,US,1,1594849777,75,71.29,-156.79,44.6,9.17
59,albany,US,23,1594849300,48,42.6,-73.97,87.01,2.06
60,narrabri,AU,0,1594849777,84,-30.32,149.78,37.99,3.6
61,kruisfontein,ZA,0,1594849777,63,-34.0,24.73,42.91,1.99
62,yellowknife,CA,75,1594849262,67,62.46,-114.35,62.6,11.41
63,morwell,AU,75,1594849237,97,-38.23,146.4,44.01,0.98
64,talnakh,RU,75,1594849628,87,69.49,88.4,48.2,4.47
65,torbay,CA,90,1594849301,100,47.67,-52.73,50.0,19.46
66,sakakah,SA,0,1594849778,11,29.97,40.21,96.8,5.82
67,armidale,AU,4,1594849237,75,-30.52,151.65,35.01,1.99
68,garowe,SO,68,1594849237,54,8.41,48.48,80.56,24.16
69,port hedland,CD,14,1594849778,47,-7.03,29.76,73.47,6.82
70,matagami,CA,90,1594849778,93,49.75,-77.63,66.2,12.75
71,cape town,CL,75,1594849778,59,-36.41,-71.9,60.8,1.12
72,north bend,FR,97,1594849778,81,50.33,3.67,61.0,1.99
73,bredasdorp,ZA,35,1594849779,86,-34.53,20.04,39.2,1.12
74,qaanaaq,GL,100,1594849779,83,77.48,-69.36,42.33,7.0
75,kodiak,US,1,1594849611,52,57.79,-152.41,66.2,8.05
76,tuktoyaktuk,CA,75,1594849302,50,69.45,-133.04,57.2,11.41
77,komsomolskiy,UZ,40,1594849779,39,40.43,71.72,78.8,2.24
78,strai,NO,2,1594849238,77,58.2,7.9,59.0,6.93
79,flinders,AU,99,1594849502,61,-34.58,150.86,54.0,5.99
80,port alfred,CD,14,1594849779,47,-7.03,29.76,73.47,6.82
81,ust-tsilma,RU,83,1594849238,85,65.44,52.15,45.43,4.52
82,yar-sale,RU,55,1594849779,84,66.83,70.83,46.83,18.63
83,sao gabriel da cachoeira,IN,100,1594849302,96,20.51,76.21,73.17,3.13
84,san pedro de macoris,ML,98,1594849302,70,13.3,-4.9,81.03,0.54
85,hervey bay,US,20,1594849779,59,33.5,-93.78,91.4,8.05
86,itarema,BR,6,1594849780,77,-2.92,-39.92,78.17,13.11
87,thompson,CA,90,1594849302,93,55.74,-97.86,62.6,11.41
88,lahat,ID,81,1594849239,91,-3.8,103.53,72.37,1.83
89,norman wells,US,1,1594849598,66,35.22,-97.44,87.8,9.17
90,bonthe,SL,92,1594849780,80,7.53,-12.51,76.73,12.35
91,twin falls,US,1,1594849303,68,48.16,-123.95,69.01,9.17
92,jinchang,CN,100,1594849239,39,38.5,102.17,75.83,6.71
93,marawi,PH,100,1594849780,93,8.0,124.29,73.0,4.0
94,vaini,TO,20,1594849780,83,-21.2,-175.2,75.2,9.17
95,houston,US,40,1594849667,46,29.76,-95.36,100.0,6.93
96,rio muerto,GR,0,1594849303,78,38.3,21.78,73.4,5.41
97,kyshtovka,RU,0,1594849240,91,56.55,76.63,60.66,6.55
98,kavieng,PG,2,1594849781,69,-2.57,150.8,82.71,3.2
99,cherskiy,RU,100,1594849781,64,68.75,161.3,45.16,4.14
100,egvekinot,RU,66,1594849240,79,66.32,-179.17,52.36,5.08
101,oranjemund,NA,0,1594849781,34,-28.55,16.43,59.58,8.55
102,georgetown,MY,20,1594849593,94,5.41,100.34,78.8,4.68
103,longyearbyen,SJ,75,1594849781,75,78.22,15.64,44.6,2.24
104,sindor,RU,100,1594849241,97,62.86,51.89,56.48,11.56
105,souillac,MU,75,1594849781,73,-20.52,57.52,71.6,11.41
106,katangli,RU,46,1594849781,78,51.71,143.23,61.45,9.44
107,aginskoye,RU,91,1594849241,83,51.1,114.53,64.26,4.52
108,pisco,PE,20,1594849782,77,-13.7,-76.22,64.4,6.93
109,kaitangata,NZ,45,1594849782,85,-46.28,169.85,42.01,1.99
110,saskylakh,RU,99,1594849304,50,71.92,114.08,63.37,20.24
111,katsuura,JP,75,1594849305,88,35.13,140.3,69.8,2.24
112,mount isa,GB,98,1594849782,93,53.66,-1.85,57.0,4.0
113,natchez,US,1,1594849241,63,31.56,-91.4,91.4,5.82
114,huarmey,PE,7,1594849541,73,-10.07,-78.15,66.43,10.47
115,fortuna,US,20,1594849782,68,40.6,-124.16,70.0,14.99
116,manono,CD,100,1594849782,28,-7.3,27.42,79.95,5.91
117,dunedin,NZ,24,1594849641,86,-45.87,170.5,42.01,6.17
118,lerwick,GB,100,1594849783,100,60.15,-1.15,53.6,8.05
119,jamestown,US,40,1594849500,51,42.1,-79.24,84.0,6.93
120,castro,BR,2,1594849783,86,-24.79,-50.01,53.74,4.76
121,lianzhou,CN,32,1594849242,84,24.78,112.38,77.47,2.33
122,poya,NC,25,1594849783,55,-21.35,165.15,69.89,6.42
123,abu zabad,IN,37,1594849783,100,24.6,72.7,72.34,5.73
124,ostrovnoy,RU,0,1594849783,79,68.05,39.51,49.23,6.87
125,bathsheba,BB,40,1594849783,66,13.22,-59.52,86.0,12.75
126,mokhsogollokh,RU,42,1594849242,61,61.47,128.92,69.57,0.54
127,cabo san lucas,BR,40,1594849783,74,-8.28,-35.03,78.8,13.87
128,svetlogorsk,BY,41,1594849783,89,52.63,29.73,49.26,2.55
129,aykhal,RU,90,1594849784,63,66.0,111.5,64.4,6.71
130,ilulissat,GL,75,1594849306,75,69.22,-51.1,46.4,3.36
131,beringovskiy,RU,1,1594849784,73,63.05,179.32,54.68,4.65
132,redmond,US,0,1594849015,46,47.67,-122.12,82.0,6.93
133,vernon,CA,1,1594849784,34,50.26,-119.27,81.0,8.05
134,wajima,JP,54,1594849784,80,37.4,136.9,70.61,1.14
135,victoria,HK,100,1594849683,74,22.29,114.16,86.0,15.01
136,araouane,ML,74,1594849784,43,18.9,-3.53,89.98,10.56
137,port hawkesbury,CD,14,1594849306,47,-7.03,29.76,73.47,6.82
138,saldanha,ZA,0,1594849784,75,-33.01,17.94,46.4,4.7
139,nevsehir,TR,40,1594849243,37,38.92,34.67,71.6,3.36
140,nur,PL,3,1594849785,80,52.67,22.32,58.73,5.53
141,comodoro rivadavia,BR,11,1594849785,46,-13.66,-59.79,77.68,3.56
142,tasiilaq,GL,0,1594849785,70,65.61,-37.64,46.4,6.93
143,port hardy,CD,14,1594849183,47,-7.03,29.76,73.47,6.82
144,najran,SA,75,1594849244,21,17.49,44.13,93.2,13.87
145,tazovskiy,RU,100,1594849785,100,67.47,78.7,51.57,6.73
146,tokyo,JP,75,1594848999,93,35.69,139.69,66.99,10.29
147,mogadouro,PT,9,1594849244,37,41.34,-6.71,75.0,1.99
148,hambantota,LK,94,1594849785,100,6.12,81.12,77.0,5.82
149,raudeberg,NO,75,1594849785,82,61.99,5.14,62.6,3.36
150,chokurdakh,RU,100,1594849785,90,70.63,147.92,36.55,13.09
151,lososina,RU,7,1594849244,79,49.0,140.31,63.25,8.77
152,linxia,CN,38,1594849244,65,35.6,103.21,60.28,2.64
153,beira,MZ,75,1594849786,60,-19.84,34.84,69.8,19.46
154,kavaratti,IN,100,1594849786,77,10.57,72.64,82.9,21.12
155,vila franca do campo,PT,31,1594849786,41,42.03,-8.16,75.2,5.82
156,berlevag,NO,82,1594849308,87,70.86,29.09,55.4,3.36
157,chaplynka,UA,15,1594849245,69,46.37,33.54,61.11,5.95
158,aljezur,PT,0,1594849245,66,37.32,-8.8,70.23,3.4
159,phan rang,TH,20,1594849786,100,19.55,99.74,78.8,1.86
160,nijar,ES,78,1594849245,42,36.97,-2.21,82.4,16.11
161,ixtapa,MX,40,1594849245,70,20.7,-105.2,91.0,11.41
162,ucluelet,CA,40,1594848958,77,48.93,-125.55,66.2,14.99
163,haikou,CN,95,1594849246,88,20.05,110.34,78.8,4.47
164,khani,GE,75,1594849786,88,41.96,42.96,73.4,3.36
165,geraldton,AU,75,1594849309,87,-28.77,114.6,53.6,13.87
166,verkhnyaya inta,RU,99,1594849787,97,60.98,40.21,53.65,8.23
167,faya,SA,34,1594849787,38,18.39,42.45,77.0,2.55
168,petropavlovsk-kamchatskiy,RU,90,1594849787,100,53.05,158.65,55.4,4.47
169,grand river south east,US,1,1594849309,12,38.88,-109.5,96.8,11.41
170,iqaluit,CA,20,1594849648,51,63.75,-68.51,60.8,4.7
171,jaisalmer,IN,39,1594849246,53,26.91,70.92,90.48,19.66
172,hualmay,PE,8,1594849708,73,-11.1,-77.61,65.39,11.3
173,cap malheureux,FR,90,1594849787,87,49.27,-1.21,62.01,9.17
174,antalaha,MG,40,1594849787,88,-14.9,50.28,67.17,6.44
175,saint-dizier,FR,73,1594849247,63,48.42,5.08,64.4,4.7
176,narsaq,GL,5,1594849787,54,60.92,-46.05,57.2,10.29
177,galdar,ES,20,1594849247,78,28.15,-15.65,73.99,32.21
178,hasaki,JP,75,1594849788,93,35.73,140.83,64.4,8.05
179,altagracia de orituco,NI,40,1594849310,78,11.57,-85.58,82.4,4.7
180,bethel,US,75,1594849236,65,41.37,-73.41,78.01,5.82
181,estacion coahuila,PH,0,1594849310,90,15.7,120.61,77.22,3.15
182,larsnes,NO,75,1594849247,87,62.2,5.58,57.0,3.69
183,lebu,CL,100,1594849788,91,-37.62,-73.65,52.12,0.6
184,aibonito,PR,41,1594849247,69,18.14,-66.27,87.01,7.0
185,lahaina,US,75,1594849231,51,20.88,-156.68,82.4,18.34
186,nikolayevsk-na-amure,RU,54,1594849248,59,53.14,140.73,74.7,3.02
187,rudbar,AF,3,1594849788,17,30.15,62.6,89.71,8.61
188,puerto ayora,ES,0,1594849160,42,36.59,-6.23,82.4,23.04
189,ondangwa,NA,0,1594849248,22,-17.92,15.95,57.2,6.93
190,mbandaka,CD,24,1594849248,91,0.05,18.26,70.75,2.28
191,yulara,AU,0,1594849789,55,-25.24,130.99,33.8,5.82
192,guanare,VE,98,1594849248,89,9.04,-69.74,80.29,3.09
193,karlovac,HR,0,1594849249,84,45.49,15.55,62.01,3.11
194,kumylzhenskaya,RU,24,1594849249,86,49.88,42.59,57.99,5.08
195,karratha,AU,4,1594849311,51,-20.74,116.85,64.22,10.38
196,saint-jean-port-joli,CA,18,1594849249,66,47.22,-70.27,68.0,11.99
197,usinsk,RU,92,1594849789,78,65.99,57.53,44.92,6.08
198,chifeng,CN,17,1594849789,59,42.27,118.96,73.11,4.61
199,mount gambier,GB,98,1594849790,93,53.66,-1.85,57.0,4.0
200,airai,TL,82,1594849312,98,-8.93,125.41,54.66,3.87
201,pilar,BR,0,1594849790,78,-9.6,-35.96,77.0,6.93
202,fort nelson,NL,86,1594849790,78,52.65,6.39,60.01,3.36
203,kirakira,SB,100,1594849790,79,-10.45,161.92,80.04,5.95
204,sao paulo,IN,100,1594849312,96,20.51,76.21,73.17,3.13
205,wajir,KE,45,1594849250,56,1.75,40.06,76.17,18.01
206,viesca,MX,75,1594849250,18,25.35,-102.8,96.8,8.9
207,uyuni,BO,0,1594849250,47,-20.46,-66.83,45.48,10.09
208,yumen,CN,99,1594849792,25,40.28,97.2,68.27,3.78
209,surman,LY,0,1594849250,39,32.76,12.57,88.2,17.16
210,sydney,AU,20,1594849736,66,-33.87,151.21,50.0,18.34
211,kaeo,NZ,15,1594849792,3,-35.1,173.78,57.0,3.24
212,russell,US,75,1594849250,83,32.35,-85.2,89.6,5.82
213,yichang,CN,100,1594849250,89,30.71,111.28,71.01,1.12
214,wabana,CA,90,1594849251,100,47.63,-52.95,50.0,19.46
215,antsohihy,MG,16,1594849793,78,-14.88,47.99,65.21,4.76
216,new port richey,LR,61,1594849187,90,6.65,-10.59,70.52,3.51
217,hofn,IS,100,1594849794,92,64.25,-15.21,51.42,10.16
218,kaduqli,SD,100,1594849251,87,11.02,29.72,74.21,0.29
219,meulaboh,ID,100,1594849315,90,4.14,96.13,77.38,4.94
220,mogadishu,SO,95,1594849315,84,2.04,45.34,77.77,17.54
221,awbari,LY,0,1594849794,20,26.59,12.78,85.75,8.28
222,sitka,US,75,1594849794,82,57.05,-135.33,59.0,9.17
223,gusau,NG,84,1594849251,75,12.16,6.66,79.02,7.52
224,ahipara,NZ,68,1594849315,91,-35.17,173.17,60.64,6.6
225,biak,ID,100,1594849252,85,-0.91,122.88,76.06,2.73
226,maragogi,BR,13,1594849795,79,-9.01,-35.22,75.18,7.16
227,maraba,BR,40,1594849252,41,-5.37,-49.12,91.4,3.36
228,otjimbingwe,NA,0,1594849252,36,-22.35,16.13,51.3,11.54
229,taoudenni,ML,8,1594849795,20,22.68,-3.98,99.79,8.52
230,hidrolandia,BR,67,1594849252,54,-4.41,-40.44,81.95,4.74
231,niamey,NE,61,1594848981,78,13.51,2.11,80.6,3.36
232,monastyrshchina,RU,100,1594849253,91,54.35,31.84,51.71,13.31
233,juegang,CN,98,1594849253,94,32.32,121.19,69.01,5.97
234,alekseyevsk,RU,95,1594849253,88,57.84,108.35,53.33,5.35
235,amol,IR,39,1594849253,84,36.47,52.35,75.65,3.22
236,skibbereen,IE,75,1594849796,87,51.55,-9.27,59.0,14.99
237,bom jesus da lapa,ML,98,1594849316,62,14.95,-2.93,81.95,7.09
238,riccione,IT,62,1594849253,77,44.01,12.64,70.0,2.24
239,oksfjord,NO,71,1594849253,67,70.24,22.35,60.8,13.87
240,cayenne,GF,5,1594849796,74,4.93,-52.33,82.4,2.24
241,tiarei,PF,75,1594849796,78,-17.53,-149.33,80.6,11.41
242,kabalo,CD,100,1594849253,33,-6.05,26.92,79.57,3.11
243,tual,ID,21,1594849254,85,-5.67,132.75,78.75,19.71
244,farafangana,MG,17,1594849254,87,-22.82,47.83,67.42,11.83
245,marienburg,PL,89,1594849796,100,54.04,19.03,64.99,8.05
246,lewistown,US,75,1594849797,31,40.6,-77.57,91.4,6.93
247,porto novo,PT,57,1594849562,68,41.15,-8.61,84.0,6.22
248,muros,ES,0,1594849797,72,42.78,-9.06,64.0,15.99
249,innisfail,AU,2,1594849797,57,-17.53,146.03,54.0,1.01
250,okhotsk,RU,88,1594849797,89,59.38,143.3,58.86,8.72
251,mayo,US,1,1594849797,51,38.89,-76.51,89.6,10.29
252,sao sebastiao,IN,100,1594849302,96,20.51,76.21,73.17,3.13
253,pedernales,DO,40,1594849317,59,18.04,-71.74,89.6,17.22
254,necochea,AR,0,1594849781,76,-38.55,-58.74,45.0,5.01
255,madang,PG,39,1594849254,85,-5.22,145.8,78.93,3.53
256,esperance,AU,90,1594849797,81,-33.87,121.9,48.2,12.75
257,hereford,GB,67,1594849255,84,52.06,-2.71,60.01,6.13
